leafs:20
tmax:300
trainsize:8000
Epoch: 047, Test MSE: 10.2589, Test error q: 3.0768,Test error delat: 0.5237,Test error p2: 0.3092, Test error p0: 3.2401 
Epoch: 048, Test MSE: 10.2549, Test error q: 3.0727,Test error delat: 0.5233,Test error p2: 0.3093, Test error p0: 3.2476 
Epoch: 049, Test MSE: 10.2490, Test error q: 3.0726,Test error delat: 0.5201,Test error p2: 0.3089, Test error p0: 3.2497 
Epoch: 050, Test MSE: 10.2431, Test error q: 3.0773,Test error delat: 0.5170,Test error p2: 0.3086, Test error p0: 3.2567 
Epoch: 051, Test MSE: 10.2395, Test error q: 3.0785,Test error delat: 0.5150,Test error p2: 0.3084, Test error p0: 3.2631 
Epoch: 052, Test MSE: 10.2355, Test error q: 3.0847,Test error delat: 0.5127,Test error p2: 0.3083, Test error p0: 3.2730 
Epoch: 053, Test MSE: 10.2315, Test error q: 3.0921,Test error delat: 0.5099,Test error p2: 0.3080, Test error p0: 3.2820 
Epoch: 054, Test MSE: 10.2274, Test error q: 3.0948,Test error delat: 0.5082,Test error p2: 0.3078, Test error p0: 3.2879 
Epoch: 055, Test MSE: 10.2242, Test error q: 3.0951,Test error delat: 0.5075,Test error p2: 0.3077, Test error p0: 3.2946 
Epoch: 056, Test MSE: 10.2195, Test error q: 3.0964,Test error delat: 0.5061,Test error p2: 0.3075, Test error p0: 3.3017 
Epoch: 057, Test MSE: 10.2143, Test error q: 3.0874,Test error delat: 0.5065,Test error p2: 0.3075, Test error p0: 3.3018 
Epoch: 058, Test MSE: 10.2099, Test error q: 3.0933,Test error delat: 0.5038,Test error p2: 0.3072, Test error p0: 3.3050 
Epoch: 059, Test MSE: 10.2047, Test error q: 3.0919,Test error delat: 0.5028,Test error p2: 0.3071, Test error p0: 3.3050 
Epoch: 060, Test MSE: 10.2010, Test error q: 3.0845,Test error delat: 0.5035,Test error p2: 0.3072, Test error p0: 3.3055 
Epoch: 061, Test MSE: 10.1978, Test error q: 3.0897,Test error delat: 0.5024,Test error p2: 0.3071, Test error p0: 3.3134 
Epoch: 062, Test MSE: 10.1933, Test error q: 3.1057,Test error delat: 0.4993,Test error p2: 0.3067, Test error p0: 3.3272 
Epoch: 063, Test MSE: 10.1884, Test error q: 3.1000,Test error delat: 0.5008,Test error p2: 0.3068, Test error p0: 3.3335 
Epoch: 064, Test MSE: 10.1873, Test error q: 3.0992,Test error delat: 0.5002,Test error p2: 0.3068, Test error p0: 3.3371 
Epoch: 065, Test MSE: 10.1838, Test error q: 3.1052,Test error delat: 0.4988,Test error p2: 0.3067, Test error p0: 3.3430 
Epoch: 066, Test MSE: 10.1813, Test error q: 3.1020,Test error delat: 0.4997,Test error p2: 0.3069, Test error p0: 3.3474 
Epoch: 067, Test MSE: 10.1784, Test error q: 3.0995,Test error delat: 0.4999,Test error p2: 0.3068, Test error p0: 3.3505 
Epoch: 068, Test MSE: 10.1734, Test error q: 3.1057,Test error delat: 0.4990,Test error p2: 0.3067, Test error p0: 3.3595 
Epoch: 069, Test MSE: 10.1698, Test error q: 3.1033,Test error delat: 0.4993,Test error p2: 0.3068, Test error p0: 3.3614 
Epoch: 070, Test MSE: 10.1643, Test error q: 3.1026,Test error delat: 0.4983,Test error p2: 0.3066, Test error p0: 3.3618 
Epoch: 071, Test MSE: 10.1617, Test error q: 3.1069,Test error delat: 0.4965,Test error p2: 0.3063, Test error p0: 3.3667 
Epoch: 072, Test MSE: 10.1604, Test error q: 3.1023,Test error delat: 0.4971,Test error p2: 0.3065, Test error p0: 3.3671 
Epoch: 073, Test MSE: 10.1573, Test error q: 3.0938,Test error delat: 0.4976,Test error p2: 0.3066, Test error p0: 3.3638 
Epoch: 074, Test MSE: 10.1548, Test error q: 3.0969,Test error delat: 0.4973,Test error p2: 0.3065, Test error p0: 3.3700 
Epoch: 075, Test MSE: 10.1525, Test error q: 3.1003,Test error delat: 0.4967,Test error p2: 0.3065, Test error p0: 3.3739 
Epoch: 076, Test MSE: 10.1498, Test error q: 3.1002,Test error delat: 0.4966,Test error p2: 0.3066, Test error p0: 3.3768 
Epoch: 077, Test MSE: 10.1473, Test error q: 3.0943,Test error delat: 0.4980,Test error p2: 0.3068, Test error p0: 3.3779 
Epoch: 078, Test MSE: 10.1447, Test error q: 3.0893,Test error delat: 0.4984,Test error p2: 0.3071, Test error p0: 3.3748 
Epoch: 079, Test MSE: 10.1418, Test error q: 3.0898,Test error delat: 0.4988,Test error p2: 0.3073, Test error p0: 3.3786 
Epoch: 080, Test MSE: 10.1396, Test error q: 3.0914,Test error delat: 0.4983,Test error p2: 0.3071, Test error p0: 3.3811 
Epoch: 081, Test MSE: 10.1376, Test error q: 3.0862,Test error delat: 0.4991,Test error p2: 0.3074, Test error p0: 3.3777 
Epoch: 082, Test MSE: 10.1349, Test error q: 3.0789,Test error delat: 0.4999,Test error p2: 0.3076, Test error p0: 3.3759 
Epoch: 083, Test MSE: 10.1314, Test error q: 3.0789,Test error delat: 0.5001,Test error p2: 0.3077, Test error p0: 3.3773 
Epoch: 084, Test MSE: 10.1296, Test error q: 3.0827,Test error delat: 0.4989,Test error p2: 0.3075, Test error p0: 3.3781 
Epoch: 085, Test MSE: 10.1278, Test error q: 3.0699,Test error delat: 0.5022,Test error p2: 0.3082, Test error p0: 3.3758 
Epoch: 086, Test MSE: 10.1259, Test error q: 3.0713,Test error delat: 0.5014,Test error p2: 0.3080, Test error p0: 3.3772 
Epoch: 087, Test MSE: 10.1222, Test error q: 3.0715,Test error delat: 0.5013,Test error p2: 0.3081, Test error p0: 3.3762 
Epoch: 088, Test MSE: 10.1194, Test error q: 3.0617,Test error delat: 0.5021,Test error p2: 0.3082, Test error p0: 3.3703 
Epoch: 089, Test MSE: 10.1191, Test error q: 3.0668,Test error delat: 0.5011,Test error p2: 0.3080, Test error p0: 3.3741 
Epoch: 090, Test MSE: 10.1159, Test error q: 3.0605,Test error delat: 0.5030,Test error p2: 0.3085, Test error p0: 3.3725 
Epoch: 091, Test MSE: 10.1139, Test error q: 3.0735,Test error delat: 0.5004,Test error p2: 0.3080, Test error p0: 3.3803 
Epoch: 092, Test MSE: 10.1127, Test error q: 3.0585,Test error delat: 0.5039,Test error p2: 0.3088, Test error p0: 3.3751 
Epoch: 093, Test MSE: 10.1096, Test error q: 3.0557,Test error delat: 0.5045,Test error p2: 0.3089, Test error p0: 3.3726 
Epoch: 094, Test MSE: 10.1080, Test error q: 3.0574,Test error delat: 0.5038,Test error p2: 0.3087, Test error p0: 3.3731 
Epoch: 095, Test MSE: 10.1046, Test error q: 3.0554,Test error delat: 0.5041,Test error p2: 0.3087, Test error p0: 3.3729 
Epoch: 096, Test MSE: 10.1042, Test error q: 3.0566,Test error delat: 0.5040,Test error p2: 0.3088, Test error p0: 3.3742 
Epoch: 097, Test MSE: 10.1007, Test error q: 3.0658,Test error delat: 0.5011,Test error p2: 0.3082, Test error p0: 3.3798 
Epoch: 098, Test MSE: 10.0990, Test error q: 3.0611,Test error delat: 0.5027,Test error p2: 0.3086, Test error p0: 3.3768 
Epoch: 099, Test MSE: 10.0963, Test error q: 3.0596,Test error delat: 0.5024,Test error p2: 0.3084, Test error p0: 3.3758 
