leafs:20
tmax:300
trainsize:8000
Epoch: 001, Test MSE: 0.4067, Test error q: 5.9430,Test error delat: 1.2744,Test error p2: 0.5130, Test error p0: 6.8848 
Epoch: 002, Test MSE: 0.3337, Test error q: 5.5480,Test error delat: 0.6804,Test error p2: 0.3806, Test error p0: 6.7062 
Epoch: 003, Test MSE: 0.2720, Test error q: 5.0012,Test error delat: 0.3899,Test error p2: 0.3097, Test error p0: 7.1303 
Epoch: 004, Test MSE: 0.2669, Test error q: 4.3879,Test error delat: 0.4040,Test error p2: 0.3081, Test error p0: 6.6073 
Epoch: 005, Test MSE: 0.2525, Test error q: 4.3417,Test error delat: 0.3490,Test error p2: 0.2832, Test error p0: 6.4466 
Epoch: 006, Test MSE: 0.2485, Test error q: 4.3718,Test error delat: 0.3384,Test error p2: 0.2925, Test error p0: 6.7342 
Epoch: 007, Test MSE: 0.2505, Test error q: 4.0778,Test error delat: 0.3669,Test error p2: 0.3038, Test error p0: 6.5815 
Epoch: 008, Test MSE: 0.2470, Test error q: 3.8596,Test error delat: 0.3568,Test error p2: 0.2965, Test error p0: 6.3618 
Epoch: 009, Test MSE: 0.2448, Test error q: 3.8979,Test error delat: 0.3482,Test error p2: 0.2955, Test error p0: 6.4171 
Epoch: 010, Test MSE: 0.2425, Test error q: 4.1331,Test error delat: 0.3396,Test error p2: 0.2997, Test error p0: 6.7112 
Epoch: 011, Test MSE: 0.2458, Test error q: 3.8261,Test error delat: 0.3712,Test error p2: 0.3151, Test error p0: 6.5842 
Epoch: 012, Test MSE: 0.2425, Test error q: 4.2736,Test error delat: 0.3347,Test error p2: 0.3008, Test error p0: 6.8156 
Epoch: 013, Test MSE: 0.2413, Test error q: 4.3756,Test error delat: 0.3282,Test error p2: 0.3031, Test error p0: 7.0371 
Epoch: 014, Test MSE: 0.2407, Test error q: 4.2405,Test error delat: 0.3410,Test error p2: 0.3060, Test error p0: 6.8901 
Epoch: 015, Test MSE: 0.2409, Test error q: 4.0881,Test error delat: 0.3536,Test error p2: 0.3110, Test error p0: 6.8171 
Epoch: 016, Test MSE: 0.2410, Test error q: 3.9474,Test error delat: 0.3616,Test error p2: 0.3027, Test error p0: 6.5169 
Epoch: 017, Test MSE: 0.2418, Test error q: 4.3343,Test error delat: 0.3573,Test error p2: 0.3147, Test error p0: 7.0425 
Epoch: 018, Test MSE: 0.2418, Test error q: 3.8447,Test error delat: 0.3739,Test error p2: 0.3051, Test error p0: 6.4189 
