leafs:20
tmax:300
trainsize:8000
Epoch: 047, Test MSE: 0.2183, Test error q: 3.0138,Test error delat: 0.2411,Test error p2: 0.2418, Test error p0: 3.8749 
Epoch: 048, Test MSE: 0.2182, Test error q: 2.8832,Test error delat: 0.2449,Test error p2: 0.2406, Test error p0: 3.7443 
Epoch: 049, Test MSE: 0.2181, Test error q: 2.8800,Test error delat: 0.2451,Test error p2: 0.2412, Test error p0: 3.7607 
Epoch: 050, Test MSE: 0.2178, Test error q: 2.9983,Test error delat: 0.2407,Test error p2: 0.2420, Test error p0: 3.8490 
Epoch: 051, Test MSE: 0.2174, Test error q: 2.9480,Test error delat: 0.2428,Test error p2: 0.2408, Test error p0: 3.8282 
Epoch: 052, Test MSE: 0.2178, Test error q: 3.0741,Test error delat: 0.2366,Test error p2: 0.2411, Test error p0: 3.9111 
Epoch: 053, Test MSE: 0.2177, Test error q: 2.9552,Test error delat: 0.2392,Test error p2: 0.2397, Test error p0: 3.7843 
Epoch: 054, Test MSE: 0.2176, Test error q: 3.0667,Test error delat: 0.2370,Test error p2: 0.2404, Test error p0: 3.9112 
Epoch: 055, Test MSE: 0.2176, Test error q: 2.9951,Test error delat: 0.2380,Test error p2: 0.2399, Test error p0: 3.8291 
Epoch: 056, Test MSE: 0.2181, Test error q: 3.0934,Test error delat: 0.2349,Test error p2: 0.2409, Test error p0: 3.9016 
Epoch: 057, Test MSE: 0.2172, Test error q: 3.0153,Test error delat: 0.2361,Test error p2: 0.2392, Test error p0: 3.8715 
Epoch: 058, Test MSE: 0.2173, Test error q: 2.9750,Test error delat: 0.2396,Test error p2: 0.2400, Test error p0: 3.8511 
Epoch: 059, Test MSE: 0.2170, Test error q: 2.9652,Test error delat: 0.2390,Test error p2: 0.2396, Test error p0: 3.8381 
Epoch: 060, Test MSE: 0.2173, Test error q: 3.0224,Test error delat: 0.2356,Test error p2: 0.2390, Test error p0: 3.8461 
Epoch: 061, Test MSE: 0.2173, Test error q: 3.0210,Test error delat: 0.2354,Test error p2: 0.2390, Test error p0: 3.8467 
Epoch: 062, Test MSE: 0.2170, Test error q: 2.9967,Test error delat: 0.2352,Test error p2: 0.2370, Test error p0: 3.8058 
Epoch: 063, Test MSE: 0.2172, Test error q: 3.0129,Test error delat: 0.2352,Test error p2: 0.2379, Test error p0: 3.8199 
Epoch: 064, Test MSE: 0.2172, Test error q: 3.0486,Test error delat: 0.2352,Test error p2: 0.2379, Test error p0: 3.8652 
Epoch: 065, Test MSE: 0.2168, Test error q: 2.9273,Test error delat: 0.2384,Test error p2: 0.2380, Test error p0: 3.8072 
Epoch: 066, Test MSE: 0.2169, Test error q: 3.0473,Test error delat: 0.2359,Test error p2: 0.2396, Test error p0: 3.9209 
Epoch: 067, Test MSE: 0.2170, Test error q: 2.9951,Test error delat: 0.2349,Test error p2: 0.2372, Test error p0: 3.8137 
Epoch: 068, Test MSE: 0.2168, Test error q: 2.9860,Test error delat: 0.2369,Test error p2: 0.2384, Test error p0: 3.8509 
Epoch: 069, Test MSE: 0.2169, Test error q: 2.9514,Test error delat: 0.2348,Test error p2: 0.2370, Test error p0: 3.7734 
Epoch: 070, Test MSE: 0.2168, Test error q: 2.9817,Test error delat: 0.2344,Test error p2: 0.2369, Test error p0: 3.7846 
Epoch: 071, Test MSE: 0.2169, Test error q: 2.9976,Test error delat: 0.2341,Test error p2: 0.2368, Test error p0: 3.8136 
Epoch: 072, Test MSE: 0.2168, Test error q: 3.0568,Test error delat: 0.2327,Test error p2: 0.2370, Test error p0: 3.8858 
Epoch: 073, Test MSE: 0.2168, Test error q: 2.9765,Test error delat: 0.2351,Test error p2: 0.2367, Test error p0: 3.8158 
Epoch: 074, Test MSE: 0.2170, Test error q: 3.0477,Test error delat: 0.2326,Test error p2: 0.2367, Test error p0: 3.8627 
Epoch: 075, Test MSE: 0.2174, Test error q: 3.0888,Test error delat: 0.2313,Test error p2: 0.2365, Test error p0: 3.8641 
Epoch: 076, Test MSE: 0.2171, Test error q: 3.0648,Test error delat: 0.2314,Test error p2: 0.2367, Test error p0: 3.8829 
Epoch: 077, Test MSE: 0.2170, Test error q: 3.0465,Test error delat: 0.2334,Test error p2: 0.2367, Test error p0: 3.8831 
Epoch: 078, Test MSE: 0.2167, Test error q: 3.0320,Test error delat: 0.2330,Test error p2: 0.2360, Test error p0: 3.8652 
Epoch: 079, Test MSE: 0.2170, Test error q: 3.0620,Test error delat: 0.2320,Test error p2: 0.2366, Test error p0: 3.8926 
Epoch: 080, Test MSE: 0.2173, Test error q: 3.1094,Test error delat: 0.2318,Test error p2: 0.2367, Test error p0: 3.9460 
Epoch: 081, Test MSE: 0.2167, Test error q: 3.0408,Test error delat: 0.2332,Test error p2: 0.2370, Test error p0: 3.9081 
Epoch: 082, Test MSE: 0.2171, Test error q: 3.0707,Test error delat: 0.2305,Test error p2: 0.2359, Test error p0: 3.8701 
Epoch: 083, Test MSE: 0.2181, Test error q: 3.1214,Test error delat: 0.2308,Test error p2: 0.2367, Test error p0: 3.8994 
Epoch: 084, Test MSE: 0.2167, Test error q: 3.0547,Test error delat: 0.2330,Test error p2: 0.2377, Test error p0: 3.9482 
Epoch: 085, Test MSE: 0.2171, Test error q: 3.0617,Test error delat: 0.2316,Test error p2: 0.2365, Test error p0: 3.9040 
Epoch: 086, Test MSE: 0.2167, Test error q: 3.0446,Test error delat: 0.2323,Test error p2: 0.2377, Test error p0: 3.9436 
Epoch: 087, Test MSE: 0.2173, Test error q: 3.0978,Test error delat: 0.2309,Test error p2: 0.2364, Test error p0: 3.9295 
Epoch: 088, Test MSE: 0.2168, Test error q: 3.0579,Test error delat: 0.2317,Test error p2: 0.2372, Test error p0: 3.9357 
Epoch: 089, Test MSE: 0.2172, Test error q: 3.0389,Test error delat: 0.2316,Test error p2: 0.2356, Test error p0: 3.8667 
Epoch: 090, Test MSE: 0.2171, Test error q: 3.0517,Test error delat: 0.2312,Test error p2: 0.2367, Test error p0: 3.8837 
Epoch: 091, Test MSE: 0.2169, Test error q: 3.0494,Test error delat: 0.2314,Test error p2: 0.2367, Test error p0: 3.9138 
Epoch: 092, Test MSE: 0.2174, Test error q: 3.0694,Test error delat: 0.2311,Test error p2: 0.2359, Test error p0: 3.9039 
Epoch: 093, Test MSE: 0.2172, Test error q: 3.1071,Test error delat: 0.2305,Test error p2: 0.2373, Test error p0: 3.9835 
Epoch: 094, Test MSE: 0.2170, Test error q: 3.0600,Test error delat: 0.2311,Test error p2: 0.2369, Test error p0: 3.9281 
Epoch: 095, Test MSE: 0.2178, Test error q: 3.1380,Test error delat: 0.2298,Test error p2: 0.2376, Test error p0: 3.9869 
Epoch: 096, Test MSE: 0.2172, Test error q: 3.0850,Test error delat: 0.2309,Test error p2: 0.2373, Test error p0: 3.9623 
Epoch: 097, Test MSE: 0.2177, Test error q: 3.1431,Test error delat: 0.2295,Test error p2: 0.2375, Test error p0: 3.9943 
Epoch: 098, Test MSE: 0.2182, Test error q: 3.1546,Test error delat: 0.2294,Test error p2: 0.2379, Test error p0: 3.9791 
Epoch: 099, Test MSE: 0.2177, Test error q: 3.1155,Test error delat: 0.2297,Test error p2: 0.2372, Test error p0: 3.9523 
